lang	n	headword	reading	parts	note
zh	0	零	líng	0	
zh	1	一	yī	1	
zh	2	二	èr	2	
zh	3	三	sān	3	
zh	4	四	sì	4	
zh	5	五	wǔ	5	
zh	6	六	liù	6	
zh	7	七	qī	7	
zh	8	八	bā	8	
zh	9	九	jiǔ	9	
zh	10	十	shí	10	
zh	11	十一	shí yī	10+1	
zh	12	十二	shí èr	10+2	
zh	13	十三	shí sān	10+3	
zh	14	十四	shí sì	10+4	
zh	15	十五	shí wǔ	10+5	
zh	16	十六	shí liù	10+6	
zh	17	十七	shí qī	10+7	
zh	18	十八	shí bā	10+8	
zh	19	十九	shí jiǔ	10+9	
zh	20	二十	èr shí	2+10	
zh	21	二十一	èr shí yī	2+10+1	
zh	22	二十二	èr shí èr	2+10+2	
zh	23	二十三	èr shí sān	2+10+3	
zh	24	二十四	èr shí sì	2+10+4	
zh	25	二十五	èr shí wǔ	2+10+5	
zh	26	二十六	èr shí liù	2+10+6	
zh	27	二十七	èr shí qī	2+10+7	
zh	28	二十八	èr shí bā	2+10+8	
zh	29	二十九	èr shí jiǔ	2+10+9	
zh	30	三十	sān shí	3+10	
zh	31	三十一	sān shí yī	3+10+1	
zh	32	三十二	sān shí èr	3+10+2	
zh	33	三十三	sān shí sān	3+10+3	
zh	34	三十四	sān shí sì	3+10+4	
zh	35	三十五	sān shí wǔ	3+10+5	
zh	36	三十六	sān shí liù	3+10+6	
zh	37	三十七	sān shí qī	3+10+7	
zh	38	三十八	sān shí bā	3+10+8	
zh	39	三十九	sān shí jiǔ	3+10+9	
zh	40	四十	sì shí	4+10	
zh	41	四十一	sì shí yī	4+10+1	
zh	42	四十二	sì shí èr	4+10+2	
zh	43	四十三	sì shí sān	4+10+3	
zh	44	四十四	sì shí sì	4+10+4	
zh	45	四十五	sì shí wǔ	4+10+5	
zh	46	四十六	sì shí liù	4+10+6	
zh	47	四十七	sì shí qī	4+10+7	
zh	48	四十八	sì shí bā	4+10+8	
zh	49	四十九	sì shí jiǔ	4+10+9	
zh	50	五十	wǔ shí	5+10	
zh	51	五十一	wǔ shí yī	5+10+1	
zh	52	五十二	wǔ shí èr	5+10+2	
zh	53	五十三	wǔ shí sān	5+10+3	
zh	54	五十四	wǔ shí sì	5+10+4	
zh	55	五十五	wǔ shí wǔ	5+10+5	
zh	56	五十六	wǔ shí liù	5+10+6	
zh	57	五十七	wǔ shí qī	5+10+7	
zh	58	五十八	wǔ shí bā	5+10+8	
zh	59	五十九	wǔ shí jiǔ	5+10+9	
zh	60	六十	liù shí	6+10	
zh	61	六十一	liù shí yī	6+10+1	
zh	62	六十二	liù shí èr	6+10+2	
zh	63	六十三	liù shí sān	6+10+3	
zh	64	六十四	liù shí sì	6+10+4	
zh	65	六十五	liù shí wǔ	6+10+5	
zh	66	六十六	liù shí liù	6+10+6	
zh	67	六十七	liù shí qī	6+10+7	
zh	68	六十八	liù shí bā	6+10+8	
zh	69	六十九	liù shí jiǔ	6+10+9	
zh	70	七十	qī shí	7+10	
zh	71	七十一	qī shí yī	7+10+1	
zh	72	七十二	qī shí èr	7+10+2	
zh	73	七十三	qī shí sān	7+10+3	
zh	74	七十四	qī shí sì	7+10+4	
zh	75	七十五	qī shí wǔ	7+10+5	
zh	76	七十六	qī shí liù	7+10+6	
zh	77	七十七	qī shí qī	7+10+7	
zh	78	七十八	qī shí bā	7+10+8	
zh	79	七十九	qī shí jiǔ	7+10+9	
zh	80	八十	bā shí	8+10	
zh	81	八十一	bā shí yī	8+10+1	
zh	82	八十二	bā shí èr	8+10+2	
zh	83	八十三	bā shí sān	8+10+3	
zh	84	八十四	bā shí sì	8+10+4	
zh	85	八十五	bā shí wǔ	8+10+5	
zh	86	八十六	bā shí liù	8+10+6	
zh	87	八十七	bā shí qī	8+10+7	
zh	88	八十八	bā shí bā	8+10+8	
zh	89	八十九	bā shí jiǔ	8+10+9	
zh	90	九十	jiǔ shí	9+10	
zh	91	九十一	jiǔ shí yī	9+10+1	
zh	92	九十二	jiǔ shí èr	9+10+2	
zh	93	九十三	jiǔ shí sān	9+10+3	
zh	94	九十四	jiǔ shí sì	9+10+4	
zh	95	九十五	jiǔ shí wǔ	9+10+5	
zh	96	九十六	jiǔ shí liù	9+10+6	
zh	97	九十七	jiǔ shí qī	9+10+7	
zh	98	九十八	jiǔ shí bā	9+10+8	
zh	99	九十九	jiǔ shí jiǔ	9+10+9	
zh	100	一百	yì bǎi	1+100	Tone sandhi: 一 is yì here, not yī, because 百 carries a third tone.
fr	0	zéro		0	
fr	1	un		1	
fr	2	deux		2	
fr	3	trois		3	
fr	4	quatre		4	
fr	5	cinq		5	
fr	6	six		6	
fr	7	sept		7	
fr	8	huit		8	
fr	9	neuf		9	
fr	10	dix		10	
fr	11	onze		11	
fr	12	douze		12	
fr	13	treize		13	
fr	14	quatorze		14	
fr	15	quinze		15	
